sentence,label
"Other revenue totaled $54.3 million for 2006, an increase of $40.2 million from $14.1 million for 2005.",8
"As a result of these initiatives, in FY21, 20% of NIKE’s university talent applicants were candidates from HBCUs and HSIs (FY19: 8%; FY20: 18%).",3
We require our direct material suppliers to restrict the use of certain substances in our components and parts.,4
"Since operations began in 1964, Chevron has helped prevent the introduction of invasive mammal species and the spread of weeds on this Class A nature reserve, which supports some species now extinct on Australia’s mainland.",1
The company does not expect the effect of adoption to be material.,8
"In fulfilling this responsibility, the Safety and Compliance Oversight Committee regularly specifies areas to be addressed at its meetings and requires that individuals from a variety of operational areas and levels be available to discuss their areas of responsibility and respond to questions.",6
"To best support a sustainable workforce and ensure business continuity through organizational changes, we developed a globally harmonized approach to succession management.",3
We continue to support a comprehensive national approach to climate change regulation that promotes ﬂexibility and diverse clean energy options with low or no CO2 emissions.,0
"Winchester products are used by law enforcement and other major federal, state, local, and international agencies as they work to keep our communities safe.",5
"We did not receive any substantiated complaints regarding our customer privacy programs during the reporting year, nor any leaks, thefts or losses of customer data.",4
"In addition, as noted in the Energy section, our production of electricity and steam helps offset GHG emissions that would otherwise be generated to meet the needs of our joint venture partners, neighboring facilities and the public utility grids.",0
In general these include solvent emissions such as isopropyl alcohol and acetone.,2
"Strategies, current actions, and future plans for managing impacts on biodiversity.",1
Huntington strives to reduce our water use with low-flow toilets and reducing our water use during landscaping .,1
"Total number of Professionals Does not include AEP subsidiaries, AEP Energy employees or employees on unpaid leave-of-absence.",3
"To be honest, we are not exactly sure how we are going to do this, but the development of our Reuse-A-Shoe program is a great start.",2
"Sixty two North American box plants achieved FSC®, SFI® and PEFC chain of custody certification in 2019, assuring customers that they contribute to responsibly sourced fiber.",1
We’re also committed to helping address the staggering unemployment of veteran spouses by supporting the Blue Star Families’ Spouseforce initiative.,5
Achieved 12% of operationally controlled electric procured through renewable energy sources outperforming the original target of 10% by 2025.,0
"After NIKE fought for Title IX and lobbied for the first Olympic women’s marathon event in 1984, one of my proudest personal sport moments was hearing the roar of the crowd when Joan Benoit Samuelson emerged from the dark tunnel into the LA Colosseum to cross the finish line first.",5
A competency development guide helps our employees identify personal development areas and resources to address them.,3
National Fish and Wildlife Foundation and International Paper created Fores tlands Stewards in 2013 .,1
"High food cost inflation, which we began to experience in the fourth quarter of fiscal 2007, prevailed throughout fiscal 2008.",8
"The slight organic increase reflected in CMG and Corporate was offset by a decrease at IAN and was primarily the result of higher salary costs to upgrade our talent and to support revenue initiatives and technology-related projects, increased incentive awards and bonus awards.",8
"From 1991 to 2008, our Pascagoula Refinery implemented a hazardouswaste reduction program that combines waste elimination and recycling.",2
"The terms Company, we, our and us as used in this Form 10-K refer to Alexandria Real Estate Equities, Inc. and its subsidiaries.",8
"In an effort to further align our facility operations to our broader net zero emissions commitment, in 2020 we mapped out a 2030 Workplace Carbon Reduction Action Plan.",0
"We use independent third parties to perform ethical hacks of key systems to help us better understand the effectiveness of our controls and to better implement more effective controls, and we engage with third parties to conduct reviews of our overall program to help us better align our cybersecurity program with what is required of a large financial services organization.",4
A new Sysco app provides real-time alerts in the event of a recall or food safety issue.,4
"Biodiversity Xcel Energy has a long history of addressing wildlife protection, including avian protection, land restoration and fish management.",1
"The COR process results in improved worker safety and reduced costs due to lost productivity, replacement worker training, property damage and incident investigation, as well as reducing legal risk exposure.",3
We match their contributions to eligible charities 100 percent.,5
Prohibiting the sale of endangered species in Sysco Brand seafood products globally.,1
"In 2019, AEP Texas piloted a standard CORE visi t framework that helps improve understanding of how employees in the field can work safer.",3
All of the wood fiber in our packaging comes from recycled materials or responsibly managed forests.,2
"Nationwide Children’s Hospital In one of our largest ever gifts to a single nonprofit, Huntington gave Nationwide Children’s Hospital a 10-year, $2 million grant to aid in the delivery of high-quality, community-based healthcare to more than 330,000 at-risk and underserved children.",5
"By 2022, we aim to reduce the chemical footprint in personal care, beauty, baby, pet and household cleaning categories in U.S .",4
The Committee also has general responsibility for insuring that the Company has in place policies and programs for the development of senior management and senior management succession.,6
This time period starts when the consumer begins to experience financial difficulty.,8
"Our QMS is built upon a Quality Policy aligned with our customer expectations: Agilent will earn customer loyalty by providing trusted answers through continuous improvement of products and services, and interactions of the highest quality and greatest value.",4
"For example, macOS puts storage media to sleep and runs processors in an ultralow power mode when you’re not hard at work.",0
"Murphy conducts a biannual process to evaluate base pay equity across the organization by position, with a specific focus on equity across gender and race/ethnicity diversity.",3
"This is a collaborative effort between Apple, suppliers, and recycling vendors.",2
"Acute hazards such as landslides and wildfires represent the greatest financial risk to the Company’s facilities and operations as they may worsen in the wooded, mountainous areas of the East Coast.",0
"Data is only available for U.S.-based employees and ethnic category is defined according to the Equal Employment Opportunity Commission (EEOC) guidelines as American Indian or Alaskan Native, Asian or Pacific Islander, Black (except Hispanic), Native Hawaiian or Other Pacific, Hispanic or Latino and two or more races.",3
Our Fair and Responsible Banking team provided education to military consumers on service member benefits and how they can access those benefits.,5
"This auditor policy also mandates that the audit and non-audit services and related budget be approved by the Audit Committee in advance, and that the Audit Committee be provided with quarterly reporting on actual spending.",6
"Our reputation for honesty, integrity, and fair dealing is an impor tant component of our success and the personal satisfaction of our employees.",3
"Through a long-term safety culture change process, we continue enabling employees to take ownership of their safety and the safety of their colleagues.",3
The management compensation committee decided that leaving his salary unchanged for 2010 was consistent with the terms of his employment agreement and the provisions of Section 162(m) of the Internal Revenue Code (Code) that limit to $1 million the amount of non-performance-based compensation paid to the CEO that the company may deduct for federal income tax purposes.,6
"Prologis provides regular ethics training in every country where we do business and in local languages where appropriate, and the Prologis Code of Ethics and Business Conduct has been translated into 16 languages to promote global understanding of our ethical obligations.",7
"Restricted cash represents customer deposits in the Czech Republic and in our Comdata business in the U.S., which we are restricted from using other than to repay customer deposits.",8
This new guidance eliminates the current option to report other comprehensive income and its components in the statement of shareholders’ equity.,8
"The Product Safety and Compliance team leverages a merchant and supplier intranet as a virtual, one-stop shop for consumer product safety and regulatory requirements.",4
"Total turnover was 207, of which 158 were voluntary from reasons such as retirements.",3
The agenda and all materials to be reviewed at an Audit Committee meeting shall be provided to the Audit Committee members prior to the meeting date.,6
"We work closely with payment networks (Visa, MasterCard) to apply rigorous fraud protection practices.",4
"And because it is a resource shared by many, our efforts go beyond our own immediate business needs and into the communities where we work to care for, replenish, and share freshwater resources.",1
"Our 2014 DD&A expense increased 31% and accounted for 53% of the aggregate increase in operating costs and expenses, excluding the effect of the 2013 litigation expense estimate reversal.",8
"Ford recognizes the paramount importance of protecting information entrusted to us and we have established policies and procedures to ensure customer choice, privacy and responsible data handling.",4
The Transco Emissions Reduction Program is projected to reduce nitrogen oxide emissions by an estimated 72 percent system-wide.,0
"The respective agreements with the NEOs contain customary noncompete provisions, non-solicitation provisions, non-disparagement provisions and confidentiality covenants, and were amended and restated in 2008 to conform to Code Section 409A.",6
This effort promises to help us avoid 7.2 million kilowatt hours of fossil-generated electricity each year.,0
"In 2017, the AEP Foundation gave $138,000 to the Thrive360 ministry in Longview, Texas, which is part of AEP’s S outhwestern Electric Power Company service territory.",5
"In 2007 Pitney Bowes Norway launched a program to replace automobiles coming off their leases with lowemission models, allowing employees a choice of electric, hydrogen or biofuel models.",0
We collaborate with partners across all our supply chains to improve the manner in which the raw materials we use are grown and produced.,1
"In 2019, there were no fines or sanctions levied against State Street as the result of legal proceedings associated with user privacy.",4
"The total safety incident rate for contract workers in 2018 was down by almost 30%, even though the number of hours that contractors worked nearly doubled.",3
"USA — Project LEAP (Literacy Enhancement Action Plan), supporting local and regional affiliates as well as national mentoring programs for low-income elementary students.",5
Our Policy also requires disclosure of all political contributions in any U.S. state where we make more than 50% of our political contributions in any year.,7
WSNI will ensure through the grievance procedure that any employee who believes that inequitable treatment has been applied to him or her within the scope of this policy is afforded full opportunity to raise the matter.,3
An on-site water filtration system is capable of providing potable water in the event municipal water service is interrupted.,1
"If in the course of fulfilling its duties, the Committee wishes to consult with outside legal, accounting or other advisors, the Committee may retain these advisors without seeking Board Approval.",6
We use ENERGY STAR Portfolio Manager to monitor and benchmark water usage in buildings where we have access to water meter data.,1
"For FY07-09, more than 80 percent of footwear factories were fully compliant with all parameters for local wastewater discharge standards.",2
"In 2016, Walmart and the Walmart Foundation announced a plan to invest $25 million in funding over five years to support research projects in applied science, education and communications that enhance Chinese food safety.",5
"They rely on us not only to enable them to make the best investment decisions, but also to safeguard sensitive information in our care.",4
Data security and privacy are top priorities for Citi and for our stakeholders and are among our most material ESG issues.,4
"The annual power output will be approximately 4,900 gigajoules, thus avoiding 120 tons of CO2 emissions per year.",0
"One in a Million Day Armed with pedometers, more than 3600 people took part in 103 walking events throughout the United States and Canada at our third annual PB Employees are One in a Million Day on May 20, 2009 in celebration of the National Employee Health & Fitness Day.",3
"Southwest has adopted a policy that it will primarily use its affiliated political action committee, the Southwest Airlines Co. Freedom Fund (Freedom Fund), which is financed through voluntary Employee contributions, to support political campaigns, and that Company funds will be limited to supporting selected political campaigns at the state and local level in compliance with the laws of the relevant states and localities.",7
"We build privacy into the design of our products, give clients choices about the information they share, and are transparent about how their data is used .",4
"This facility bears interest at the TIIE Rate, as defined therein, plus 1.00% and is scheduled to expire in May 2008.",8
"Provide a concise disclosure on the management approach items outlined below with reference to the following society aspects: customer health and safety, product and service labeling, marketing communications, customer privacy and compliance.",4
"Committee and committee chair assignments are reviewed annually by the corporate governance committee, which recommends committee rosters to the full board.",6
He therefore receives no separate compensation for his service as director.,6
"Yet, an area of forest the size of a football field is cleared every second.",1
"In addition, through our design for environment program, our products and packaging are designed for easy disassembly and recycling.",2
"In addition, the Audit Committee received from Deloitte & Touche the written disclosures and the letter required by Independence Standards Board Standard No. 1, and the Audit Committee has discussed with Deloitte & Touche its independence from LKQ and its management.",6
We have established a companywide governance infrastructure to drive a holistic approach to the privacy and security of data entrusted to us.,4
"No participant may receive more than 400,000 Stock Options during a calendar year.",6
Waste management objectives and targets are listed in Agilent's Global ISO 14001 program.,2
"These Policies form the foundation of a comprehensive process that includes compliance with corporate policies and procedures, an open relationship among colleagues that contributes to good business conduct, and a high level of integrity.",7
The liability is not estimable because Xcel Energy intends to utilize these properties indefinitely.,8
Credits amounting to $28.1 million were recognized for electric customers for 2002.,8
Cimarex will post on its website all waivers of or amendments to its Code of Business Conduct that are required to be disclosed by applicable law and the NYSE listing standards.,7
"Regardless, this process ultimately begins in the forest, and you can read more about our commitment to responsible forest stewardship in The Future Forests.",1
"When Humana builds care homes, we optimise them logistically to reduce unnecessary transports and take care to ensure that employees have a good working environment.",3
"Messrs. Fotiades, Losh, Lyons and Zollars and Ms. Kennard currently serve on at least three public company boards, including our Board.",6
"We have also been advocating for governments to rethink policies so as to encourage early, positive experiences of physical activity for youth, and so that people integrate physical activity more effectively into their daily lives.",5
"The Company, along with other financial institutions, provides liquidity facilities, such as commercial paper backstop lines of credit to the conduits.",8
"Fresh water withdrawn does not include effluent or recycled/reclaimed water from municipal or other industrial wastewater treatment systems, as this water is reported under nonfresh water withdrawn.",1
Our jobs are vital to the communities we serve.,5
"Overall, our efforts have prevented 38 million pounds of materials from being sent to landfills.",2
"Producers are encouraged to implement a combination of practices, such as use of cover crops, noor low-till farming, and wetland creation, which complement water conservation efforts and enhance soil health, wildlife habitat and water quality.",1
"For example, we supported a locally managed reforestation and sustainable development project in 2020 that will help sustain existing income and improve crop yields for commodities such as fruit, nuts, and timber for smallholder farmers in Kenya and Uganda.",5
"This model was used to assess country-specific climate risks for the sovereigns, supranationals, and non-U.S. agencies portion of the investment portfolio and, separately, for the remaining investment portfolio assets based on their country of risk.",0
"CAIR will further regulate sulfur dioxide (SO2) and nitrogen oxide (NOX) emissions from power plants in the eastern half of the United States.The rule affects the District of Columbia and 28 states including Minnesota,Wisconsin and Texas, where Xcel Energy operates electric generating facilities.",2
Huntington is keenly aware of our exposure to carbon-intensive sectors.,0
Only workers with a legal right to work shall be employed or used by a supplier.,3
"Motor Vehicle Safety Classifications As indicated in the chart below, our motor vehicle incident rate increased in 2005.",4
Thermo Electron is a Delaware corporation and was incorporated in 1956.,8
"In addition to its “economic” financial measures , as defined above , the Company has also provided other non-GAAP financial measures , including results that it refers to as “excluding special items ,” as a result of items that the Company believes are not indicative of its ongoing operations .",6
"We screen our suppliers to ensure that their practices are consistent with our values and expectations, and that their costs and impacts are not disproportionately large considering the product or service they provide.",3
The sectors that primarily contributed to our organic revenue increase were technology and telecom and auto and transportation.,8
"We communicate and apply these standards through policies such as our code of ethics, insider trading policy, blackout and pre-clearance procedures, and Foreign Corrupt Practices Act policy statement and compliance guide.",7
"If the Rights evidenced by this Right Certificate are beneficially owned by (a) a transferee of Rights Beneficially Owned by such Acquiring Person who (i) becomes a transferee after a Stock Acquisition Date or (ii) becomes a transferee prior to or concurrently with a Stock Acquisition Date and receives such Rights (A) with actual knowledge that the transferor is or was an Acquiring Person or (B) pursuant to either (I) a transfer (whether or not for consideration) from the Acquiring Person to holders of equity interests in such Acquiring Person or to any Person with whom the Acquiring Person has any continuing agreement, arrangement or understanding regarding the transferred Rights or (II) a transfer which is part of a plan, arrangement or understanding which has as a primary purpose or effect the avoidance of these transfer restrictions, such Rights shall become null and void without any further action, and no holder hereof shall have any rights whatsoever with respect to such Rights.",6
We’re working hard to continually expand our recycling and reuse efforts.,2
They assessed safety performance on two factors: accident-free performance and implementation of its safety management system.,3
The LIFO provision increased by $37.6 million to $42.8 million in fiscal 2008 compared to $5.2 million in fiscal 2007.,8
We have at tended the National Black MBA conference and National Minority Supplier Development conferences .,5
Our goal is to one day make products using only responsibly sourced recycled and renewable materials.,2
"Also in 2015, for the sixth consecutive year, Ford was honored by the Ethisphere Institute as one of the World's Most Ethical Companies.",7
"Agilent actively recruits top talent from underrepresented groups around the world, and works to build an inclusive environment that develops and retains employees.",3
"The company’s commitment is among the most aggressive goals advanced in the food industry, and builds on our 2007 announcement to reduce sugar in all cereals advertised to children to 12 grams of sugar or less.",4
"Additionally, M∙A∙C Cosmetics and its retail partners raised more than $33 million for the M∙A∙C AIDS Fund through the brand’s annual VIVA GLAM campaign, and our ELC Good Works (U.S.) employee matching gifts and volunteerism platform delivered a 33% engagement rate, exceeding the industry average.",5
"As part of that work, we developed a tool to assess a factory’s HRM capability and maturity.",3
"Williams actively engages with a variety of community stakeholders, from local business owners and community leaders to public officials and nongovernmental organizations.",5
This also created a new source of income in the form of direct payments from sold carbon credits.,0
"For instance, around our Nigerian operations, we have conducted HIV/AIDS awareness, prevention and treatment activities since 2001 and, in some locations, supported anti-malaria efforts through community medical clinics.",5
"Corbat has sponsored our multi-year focus on Ethics and Culture, our broad and innovative effort to further heighten attention towards ethical decision-making across Citi.",7
"The Committee also publishes a code of business ethics, which is in the form of the Business Ethics Code of Conduct.",7
Our company supports communities near its operations in a variety of ways.,5
"We consider natural gas and electricity usage at each site — our offices, data centers, R&D facilities, and retail stores — auditing how we perform and, when needed, using best practices for energy management to reduce our loads.",0
"In addition, each member of the Executive Committee of the Company must own within five years of June 1, 2003 or within five years of the date the Board first appoints him or her, Shares, vested restricted stock, or Shares held under any Company benefit plan equal in value to three times his or her annual base salary in effect at the end of the initial five year compliance period.",6
"The labs targeted major retailers, financial institutions and real estate firms as partners in the study; ProLogis was included in a proposal from the National Renewable Energy Laboratory (NREL), one of the nation’s leading laboratories for renewable energy and energy ef ficiency research and development.",0
"For all projects, we conduct extensive sampling and testing of the soil to establish its condition prior to making any impact, catalogue the samples for each property and scrutinize them upon closure.",1
"Underscoring our belief that education is a cornerstone of community sustainability, approximately one-half of this amount supported science and technology education programs.",5
"With the support of recycling partners around the world, we directed more than 38,000 metric tons of e-waste to recycling globally in fiscal year 2021.",2
Water data is evaluated on a daily basis and ambitious water reduction goals have been set.,1
"The annual fee for all meetings is $24,000, $30,000 for directors holding a committee chair, and will be prorated for scheduled meetings not attended.",6
Each factory defines gaps in its current HRM systems and creates action plans to address them.,3
"Final approval of director nominees is determined by the full Board, on recommendation of the Nominating Committee.",6
"We have formal plans in place to respond to aircraft incidents, weather disruptions, and other disasters such as terrorism threats, pandemics, and facility emergencies.",4
The Playworks model of play and physical activity has substantially improved school climate in more than 300 schools in 23 U.S. cities.,5
Reduce waste to landfill in North America by 10 percent .,2
"This deforestation is having a negative impact on biodiversity, endangered species and the broader environment.",1
"The following table presents a summary of our financial performance for the years ended December 31, 2018, 2017 and 2016.",8
"We work closely with our suppliers to make sure our products are free from the harmful substances we specify, and we confirm it in our own Environmental Testing Lab.",4
"At Ford, employees can continually learn and apply new skills, which is the foundation to achieving the company’s vision of making people’s lives better.",3
"Corbat is an experienced financial services executive and finance professional, and has been nominated to serve on the Board because of his extensive experience and expertise in the areas of Financial Services, Risk Management, Financial Reporting, Institutional Business, Corporate and Consumer Businesses, Regulatory and Compliance, and Corporate Affairs.",6
Following are some of the significant terms of the Agreements.,8
The event brought together fintech business leaders from across the city to hear various perspectives on an important topic for financial services: data privacy in the age of open banking.,4
But retailers can improve their sustainability by pursuing operational best practices—such as benchmarking store energy performance through the EPA’s Portfolio Manager® tool—and utilizing programmable thermostats to reduce afterhour s heating and cooling.,0
"As a result, we recognized a restructuring charge of approximately $12.3 million in the quarter, associated with severance, office closures and the termination of certain contractual obligations.",8
"Discuss management approach to customer health and safety, service labeling, marketing communications, and customer privacy as they as they relate to overall management policies, goals, and performance.",4
Ball employees also have the potential to engage colleagues in volunteerism and to play a key role in enhancing partnerships in the communities where they live and work.,5
"We create packaging products that protect and promote goods, enable worldwide commerce and keep consumers safe.",4
"We urge others in the industry to develop recyclable solutions, including polyethylenebased designs that can be certified for recycling within the store drop-off program.",2
Achieving our ambitious zero discharge of hazardous chemicals goal starts by keeping hazardous materials out of the sourcing and manufacturing process.,2
"We invest in, develop and use advanced technology to help safeguard information.",4
"Southwest offers a total of 18 humanitarian flights carrying 1,288 at zero cost to the Passengers.",4
"In addition to our annual fundraising campaign, Walmart Canada supported the Canadian Red Cross with relief efforts following major flooding in Alberta and the train derailment in Lac-Mégantic, Quebec.",5
The Board is committed to strong corporate governance structures and practices that help the Company achieve business results—the right way.,6
Total weight of waste by type and disposal method.,2
Our goal is to ensure that our packaging has a net-zero impact on the world’s supply of sustainable virgin fiber.,1
"Through a mutually beneficial agreement, we buy limited quantities of water that farmers have available and use it in our power plants.",1
Organizational boundaries—the degree of an organization’s control over its facilities and equipment—determine the types of GHG emissions that will be included within or excluded from the inventory.,0
The Board believes it is important that it retain the flexibility to adopt a rights plan without having to conduct a shareholder vote in order to maintain the plan.,6
"In 2011, the Company added a net of 14 stores: six in the Americas (three in the U.S., two in Canada and one in Brazil), six in Asia-Pacific (three in Korea, two in China and one in Taiwan), three in Europe (one each in Germany, Italy and Switzerland) and a net reduction of one in Japan.",8
"This helps ensure that points of failure are correctly diagnosed, and services and repairs are performed successfully, preventing damage to the device and ensuring that the device works as it should.",4
"Our historical investment returns (compound annual growth rates) for our United States defined benefit pension and other postretirement plan assets were a 25 percent loss in the 1 year period ended May 31, 2009 and returns of 5 percent, 6 percent, 9 percent, and 9 percent for the 5, 10, 15, and 20 year periods ended May 31, 2009.",8
"In 2011, TechnoServe, a nonprofit organization that works to find business solutions to combat poverty around the world, honored General Mills Chairman and Chief Executive Officer Ken Powell for his leadership in helping to empower poor people in Africa.",5
Ball Aerospace completed three projects in 2009 that eliminated single pass domestic water systems.,1
Aspect: Customer privacy PR8 Total number of substantiated complaints regarding breaches of customer privacy and losses of customer data.,4
"The mesh fabric of HomePod mini, for example, is made with 90 percent recycled plastic.",2
"The customer data privacy policy revision will incorporate a clearer commitment to customer privacy and data protection, details about the types of data AEP collects from its customers and website visitors, and better transparency into how we use customer data to provide electric power and related services.",4
The consultant annually performs internal equity comparisons of named executive officer compensation to support the compensation committee’s review process.,6
"As you’ll see in this report, we remained vigilant in protecting our data assets, as our practices and standards continuously evolved to safeguard consumer information and privacy.",4
We’ve voluntarily installed emissions control systems on our emergency generators to reduce emissions of nitrogen oxides and particulates.,0
"Capital expenditures exclude non-cash additions of approximately $0.4 million, $54 million and $67 million in 2005, 2004 and 2003, respectively, in assets held under capital leases resulting from the extension of existing operating leases and other additions.",8
"We have developed strong partnerships with local, state and regional economic development organizations to support opportunities for customer and economic growth.",5
A June 1996 Life magazine article (see top page) branded Nike as a child labor company.,3
"We have expanded the number of stores in California and Hawaii that feature the 25-cent bag, along with plastic bags, and we continue to monitor customer reactions.",2
"Three meetings of the Executive Compensation Committee were held during 2002, on February 6, July 24, and October 23.",6
Information security and privacy policies are in place and periodically reviewed.,4
"For example, we participate annually in the CDP Water Survey.",1
"According to United Nations estimates, between 20 and 50 million tons of e-waste are generated worldwide each year.",2
"To support compliance with the Privacy Standard and relevant data protection laws, the Global Privacy Office, as part of Street’s Corporate Compliance organization, is responsible for designing, maintaining and overseeing the State Street Privacy Program.",4
"As of Dec.31, 2011, Walmart achieved an 80.9 percent reduction rate in the amount of waste we send to the landﬁll across our more than 4,500 U.S. facilities.",2
"As a member of the partnership, Williams is committed to improving environmental performance by accelerating methane emissions reductions from key emissions sources.",0
"One of Agilent’s most important company assets is our reputation for ethical behavior, honesty and fair dealing.",7
We encourage farmers to apply our products using the right fertilizer at the right rate at the right time and in the right place in order to maximize nutrient benefits and prevent potentially detrimental impacts.,4
"Water is a vital, shared resource that we all depend upon.",1
We believe these are key moments for our leaders to engage our colleagues and for colleagues to grow professionally.,3
"Through mentorship, we pass on our institutional knowledge, develop our talent pool and create a sustainable and learning enterprise.",3
We also reclaimed old-growth oak trees from California landscapes where they would otherwise have been destroyed.,1
"The committee also advises the Board on compliance with Olin's Standards of Ethical Business Practices, on government and other compliance programs, on corporate and governmental security matters, and monitors major litigation with a particular interest in the event there are claims that Olin has acted unethically or unlawfully.",7
"We have designed a program of material handling that is “recycling-led,” which means we consider recycling options first before discarding materials into landfills or incinerators.",2
Apprenticeship training has proven to be a safe and effective way to reduce skilled labor shortages.,3
We hold ourselves to the highest standard of integrity and ethical behavior and strive for transparency.,7
"In 2015, Chevron directly employed more than 1,000 people, indirectly supporting the equivalent of more than 51,700 U.K. jobs and adding around $2.7 billion to the country’s gross domestic product.",5
"Nasdaq Market Center revenues decreased $9.8 million, or 2.5%, in 2004 compared with 2003 and decreased $135.3 million, or 25.8%, in 2003 compared with 2002.",8
French Creek watershed is one of the most valuable and ecologically diverse waterbodies in western Pennsylvania.,1
This new level of transparency is also a driver of employee awareness and engagement in water conservation measures.,1
"The project went online this spring, using concentrating solar energy that provides heat to produce supplemental steam for electric power production.",0
Our Supplier Diversity program seeks to expand and advance our current pool of more than 600 diverse suppliers through education and mentoring.,3
"Cost of operations increased $442.5 million, or 21.0%, to $2.5 billion for the year ended December 31, 2013 as compared to $2.1 billion for the year ended December 31, 2012.",8
"In its oversight of our 2018 executive compensation program, the GCN worked with Meridian, the CEO and the Senior Vice President, Chief Human Resources Officer and the Executive Vice President, Group President, Utilities and Chief Administrative Officer until his retirement from the Company in June 2018.",6
"Employees are encouraged to seek help when trying to determine the right course of action, either through their manager or via the Ethics Line, which provides for anonymous reporting.",7
Hydroelectric plants do not consume water in the generation process even though water does naturally evaporate from reservoirs.,1
"Representation before these publics is the responsibility of the Governmental Relations area, guided by IP ’s Global Public Relations Policy, which seeks the seamless alignment between the interests of the company and that of the communities where it operates.",5
The Nominating and Governance Committee considers prior performance and contributions for any director nominee who currently or previously has served as a member of the Board.,6
A director so appointed to fill the vacancy will stand for re-election at the first annual meeting of stockholders following that director's appointment to the board.,6
"This  license  agreement expires on December 31, 1995 (the  ""Old  License Agreement"").",8
AVEDA conducted a thorough evaluation and concluded that the risks of eye irritation or infection in healthy individuals following the use of this product were low.,4
"Bangladesh, for example, the Nike Foundation partners with BRAC, one of the world’s largest and most respected NGOs; BRAC reaches 1,500 communities and provides approximately 45,000 girls with access to safe places and economic opportunity.",5
This included matching dollar for dollar gifts of more than 760 active and retired employees to 300 institutions of higher learning and related foundations.,5
The inspectors of election appointed for the Annual Meeting will determine whether or not a quorum is present.,6
"However, the intention of Agilent and the Compensation Committee is to administer the Performance Plan in compliance with Code Section 162(m) with respect to covered employees or participants who may become covered employees.",6
"In 2020, we expanded the number of states in the U.S. where we have announced new renewable energy projects to include Illinois, Tennessee, and Ohio, growing the grids on which Facebook is bringing new solar and wind energy.",0
"If the water discharged from our operations is not adequately treated, it can negatively affect the environment.",2
Prologis employees made blood donations which supported local medical systems.,5
"Through Nasdaq’s new CDP Supply Chain corporate membership in 2022, we requested our top suppliers to disclose their environmental data through CDP’s Climate Change survey and will engage them to reduce environmental risks within our supply chain.",0
"In cases where we aren’t able to purchase renewable energy in this way due to local regulations, Apple will purchase renewable energy credits (RECs),1 which we register and are careful to retire in certified tracking systems.",0
"Company officers and other key members of management also complete an annual Officer’s Questionnaire to identify, among other matters, potential conflicts of interest .",7
"To help us achieve that, Humana is committed to maintaining high ethical standards in the conduct of its business, enabling us to meet legal and regulatory requirements.",7
"We will provide one or more of various services for these new assets to be serviced, including accounting, fund administration, custody, foreign exchange, securities finance, transfer agency, performance analytics, compliance reporting and monitoring, hedge fund servicing, private equity administration, real estate administration, depository banking services, wealth management services, and investment manager and alternative investment manager operations outsourcing.",8
UP is committed to improving the lives of youth surviving in vulnerable environments.,5
"These saved over 12 million kWh, delivered US$4.8 million in cost savings and avoided nearly 6,000 metric tons CO₂e of GHG emissions.",0
"At its core, NIKE’s Restricted Substances List (RSL) is a list of restricted chemicals, with limits on specific chemical substances.",4
"Chevron also provides technical leadership to the industry-led CO2 Capture Project for field trials of surveillance equipment and capture demonstrations, the Petroleum Technology Research Centre’s Weyburn-Midale Project for CO2 storage from enhanced oil recovery operations, and the broad-based carbon capture and storage programs of the Australian Cooperative Research Centre for Greenhouse Gas Technologies.",0
"Although the Committee and management determined that our previous severance and change of control benefits were reasonable, they believe the approved changes are more consistent with current market standards and emerging governance trends.",6
"During the period, Kimco remediated soil as a part of one major redevelopment project at The Boulevard (Staten Island, NY).",1
"Because we better understand the sources of waste generated from our designs, our internal teams can focus on the gradual elimination of waste.",2
"For the first time in many years, our greenhouse gas emissions actually increased in fiscal 2021 as our company produced more food in order to help feed the world during the global pandemic.",0
"This cut water use in half in the building, resulting in an annual savings of 83,200 liters.",1
"In 2009, we introduced two additional online forums with global reach: • Yammer is a wide-ranging, free-form social networking platform that facilitates collaboration and enables employees to share experiences on virtually any kind of assignment.",3
"Over the past several years, we have made continued progress in increasing representation of minorities and women in our work force, despite an environment of minimal hiring and downsizing.",3
"Chevron does so by engaging with policymakers and expressing its views on pending policy proposals, by engaging in direct and indirect lobbying, and by participating in a diverse range of business and policy organizations that advocate positions supporting free markets and responsible energy legislation and regulation.",7
"CNL and UNDP will develop a coordinated master plan for separate Delta projects, such as building schools, roads and hospitals.",5
The Mission United initiative was created to help veterans dealing with a life emergency by providing service members and their families with immediate financial assistance.,5
We use a six-question employee survey to evaluate our CCBC program annually.,3
We are committed to engaging in water stewardship initiatives to address both access and quality issues.,1
"The provisions of the Plan may be bifurcated by the Board or the Committee at any time so that certain provisions of the Plan, or any award, required in order to satisfy the requirements of section 162(m) of the Code are only applicable to Participants whose compensation is subject to section 162(m) of the Code.",6
"Lila Snyder, Executive VP and President, Global eCommerce, was honored recently by the YWCA of Greenwich CT as a community leader and mentor for her advocacy for STEM education.",5
"In addition, the Audit and Finance Committee may also pre-approve particular services on a case-by-case basis.",6
"A banking relationship with Huntington is established af ter the identity of a potential customer is satisfactorily determined in accordance with the Anti-Money Laundering Program Policy and the Customer Identification Program , including the U.S. Treasury Depar tment ’s Office of Foreign Assets Control (OFAC) standards.",7
Written safe-work practices are a core part of our comprehensive safety program.,3
Provide annual training on anti-corruption and corporate code of conduct.,7
"Many institutional investors hold that good governance, that includes annual election of each director, is a means of ensuring the long-term performance of the companies they invest in.",6
